"REC_NO","COLL_DATE","GRAINSIZE","SOIL_HORIZ","SETTING","RELIEF","VEG","LATITUDE","LONGITUDE","HUC_8","TYPEDESC","SOURCE","STUDY","PH","P_ICP40","C_TOT","C_ORG","Date","P_mgkg","Depth","surface","min_depth","max_depth","max_depth_est"
"ST009165","20030528","","Bt","Upland","","Cropland",48.9668,-101.87402,9010001,"SOIL","Soil","",NA,0.055,NA,NA,2003-05-28,550,"subsurface","NA",NA,NA,30
"ST009166","20030529","","Bk","Upland","","Cropland",48.74759,-100.58924,9010003,"SOIL","Soil","",NA,0.058,NA,NA,2003-05-29,580,"subsurface","NA",NA,NA,30
"ST009167","20030730","","A","Till plain","","Range",48.25225,-102.91396,10110101,"SOIL","Soil","",NA,0.064,NA,NA,2003-07-30,640,"surface","NA",NA,NA,12
"ST009168","20030528","","Bt2","Till plain","","Cropland",48.61939,-102.81049,10110101,"SOIL","Soil","",NA,0.058,NA,NA,2003-05-28,580,"subsurface","NA",NA,NA,30
"ST009169","20030610","","Bk","Missouri Coteau","","Cropland",48.10463,-101.53238,9010001,"SOIL","Soil","",NA,0.056,NA,NA,2003-06-10,560,"subsurface","NA",NA,NA,30
"ST009170","20030716","","Bk","Till plain","","Cropland",48.38708,-101.46132,9010001,"SOIL","Soil","",NA,0.054,NA,NA,2003-07-16,540,"subsurface","NA",NA,NA,30
"ST009171","20030528","","A","Till plain","","Range",48.59301,-102.71188,10110101,"SOIL","Soil","",NA,0.072,NA,NA,2003-05-28,720,"surface","NA",NA,NA,12
"ST009172","20030729","","Bk2","Till plain","","Range",48.06734,-102.50527,10110101,"SOIL","Soil","",NA,0.052,NA,NA,2003-07-29,520,"subsurface","NA",NA,NA,30
"ST009173","20030716","","Ap","Till plain","","Cropland",48.38711,-101.46125,9010001,"SOIL","Soil","",NA,0.076,NA,NA,2003-07-16,760,"surface","NA",NA,NA,12
"ST009174","20030529","","Bk1","Till plain","","Cultivated",48.84036,-103.55338,9010001,"SOIL","Soil","",NA,0.061,NA,NA,2003-05-29,610,"subsurface","NA",NA,NA,30
"ST009175","20030729","","Bk","Till plain","","Range",48.06752,-102.50477,10110101,"SOIL","Soil","",NA,0.045,NA,NA,2003-07-29,450,"subsurface","NA",NA,NA,30
"ST009176","20030729","","Bt1","Till plain","","Wildlife (CRP)",48.19107,-102.69945,10110101,"SOIL","Soil","",NA,0.063,NA,NA,2003-07-29,630,"subsurface","NA",NA,NA,30
"ST009177","20030729","","Bk2","Till plain","","Range",48.06734,-102.50527,10110101,"SOIL","Soil","",NA,0.051,NA,NA,2003-07-29,510,"subsurface","NA",NA,NA,30
"ST009178","20030530","","Bk","Upland","","Cropland",48.90034,-101.2137,9010003,"SOIL","Soil","",NA,0.064,NA,NA,2003-05-30,640,"subsurface","NA",NA,NA,30
